IP Address      | Identity                                     | Gossip | TPU   | TPU-QUIC | RPC Address           | Version | Feature Set
198.13.130.113  | CdP8Ri8Kynasxre9SfGAdeiRezZNsvvigbP9ZZuVqYHg | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
159.203.171.69  | 529e986HdZFi9jL9MEdtMoeAXqhAi2rdEDTW4UkJyEib | 9007   | none  | none     | none                  | 4.0.0   | 1718981463
104.204.141.108 | 65CgnHi9isBwMshSdsMFW87iReF9AGHqNGrbMzH1Aoxb | 8001   | 8003  | 8009     | none                  | 3.0.11  | 3604001754
46.188.82.48    | 6yy3WqvhewpEyci19Pi8TDKdVdNRDdKdMvRRNHYYMaf5 | 8000   | 8003  | 8009     | none                  | 3.0.11  | 3604001754
45.152.160.63   | 7b5w2zeFGUzenTAkZeYYuJv3HFUDdeY5iP85QQ84Q6Ec | 8001   | 8003  | 8009     | none                  | 3.0.11  | 3604001754
64.34.94.201    | 3hU1LzW9Amuf6MnLG45LzgQffDAmADbYAAyMTbbEz459 | 8000   | 8003  | 8009     | none                  | 3.0.12  | 3604001754
65.109.94.203   | EU6TNxtAK8K9RvCFCviyH4HoiggqRgu5aEjbeh2CCHKV | 8000   | 8003  | 8009     | 65.109.94.203:8899    | 2.3.11  | 2142755730
204.16.247.196  | C7yMwweLhXFbpZGz4Gp474HkzbPewQAeCGscH4xwZ4WL | 8000   | 8003  | 8009     | none                  | 3.0.12  | 3604001754
108.171.202.234 | sWApqhHGZesK5CiZGTiJcJGEWWDJtFF89FovEDTqBnw  | 8001   | 8003  | 8009     | none                  | 3.0.11  | 3604001754
45.32.131.192   | 2io15Lsati7qU9AbsUJ84qRerhCrZpw4tNpCaLUdbMxK | 11000  | 11003 | 11009    | none                  | 3.1.0   | 1604039747
64.130.59.172   | 7P5n8DhJHkoxmjeCYaKT6w8qPrkXG2DMmV1niEyByipR | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
88.211.225.44   | HR661Cxpk68ys8FeHoJ49wzSDC6XA5wWomg3xBB1U6JV | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
64.130.63.201   | 9ysKqX93RvrAQLZkuCAtJomiaxUmiKtA9T8J9YjJf8qD | 8000   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
185.52.237.102  | 56XLfT9QYVCEP1ZfEg48VMNjsqJYibw5Fzr8d3jY9rAp | 9000   | 9003  | 9009     | none                  | 3.0.12  | 3604001754
64.130.32.233   | 2L8p4n2zGZTrNKk5mEC757t8bYtPFrBmA2UHAkuMv4kL | 18000  | 18003 | 18009    | none                  | 3.0.6   | 3604001754
64.31.14.178    | 7UABHPLF49iAHAPBHxxcLbg1jWJFTkBN7nF6XsMoPbtE | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
64.130.37.136   | ABkSrrDFjLdVjA3r8Wi2FJXxAwLfYV71Wx4SauWpm21j | 8001   | 8004  | 8010     | none                  | 3.0.11  | 3604001754
64.130.40.14    | JAR6oRqQwibbFddAEDZYkALAAQNWbGbuaPJsfcKqNU4m | 8001   | 8004  | 8010     | none                  | 3.0.4   | 3604001754
162.19.167.138  | 6zFc8nFtyH8xkcpeb6sxYvKjDGFr7bRj7n7vNSYaidq8 | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
47.242.111.144  | EFCqF4iMkkdUnKD9cPqjgfF7EtUEzSudEJ3dkMHR5xyP | 8001   | 8003  | 8009     | none                  | 3.0.11  | 3604001754
64.130.55.23    | EgDfzBcPvG6PXid6hx9itonCYGsvgNpKGN8uECeCeTWH | 8001   | 8004  | 8010     | none                  | 3.0.11  | 3604001754
63.178.2.104    | 76WbR87RnVBygzbKb8GaUUK9bkF6uvuCRZLJieYmn9hz | 8000   | none  | none     | none                  | 2.3.8   | 2255652435
64.130.63.78    | mcs53XCrKqaQTKV74oECGrkk2WpZuPG3uoozvNvgHmC  | 8001   | 8004  | 8010     | none                  | 3.0.13  | 3604001754
86.105.224.24   | GoRebkiFvdTpmFNJ4KCB18BkG3bAVYRmuHeFUUbbMrcw | 8000   | 8003  | 8009     | none                  | 3.0.11  | 3604001754
148.113.187.124 | 3SHMjkVPnzQqFg37UHqFK5GJ3DQCPc4JMpM11gBkAvVM | 8000   | 8003  | 8009     | none                  | 3.0.9   | 3604001754
64.140.162.242  | 4CwRCqKVsrYU3oiPkppGQua142ta4JkWrSY4h9d7javG | 8001   | 10004 | 10010    | none                  | 3.0.10  | 3604001754
198.13.134.20   | 2jhMjAdm5Ufi1M8P7JdTeeefCyXFJLjDb4nGJugFd1qB | 8001   | 8004  | 8010     | none                  | 3.0.11  | 3604001754
5.39.106.28     | BmCFAssU3dTkVfUqFwyvTVZMHd2F28fctPeV2ZgVaiPw | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
64.137.45.186   | DXZkB9zQFuxNrk8vUGp7VKvsnsL2c9HMWC8LBfyRKNNQ | 8000   | 8003  | 8009     | none                  | 3.0.12  | 3604001754
202.8.9.80      | Hp88bcKyWfcmDfjs76z1d73hTrTrUbE35vt9K6vd36i1 | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
67.213.121.197  | eBsKBZFD4wNAngQk1Y1V7io6cQTAUYn5FEyVYCPD7xX  | 8000   | 8003  | 8009     | none                  | 3.0.5   | 3604001754
64.130.40.89    | 4MFxmrgan4LSFgkudeQG6DLDsSGbwHMwWGvb8JLVaKXC | 8000   | 8003  | 8009     | none                  | 2.3.6   | 3640012085
67.213.117.241  | F4pPHpCwH9EDDQ1VGVHVBomRqDvBP89KmBKx6HDymTZh | 8000   | 8003  | 8009     | none                  | 3.0.12  | 3604001754
46.101.115.137  | 5uG4cyq191ns4jcxNokK25eFJ7jvKS7VYeu6nZ53LxUK | 9006   | none  | none     | none                  | 4.0.0   | 1718981463
145.239.233.180 | CHFz3aFF9UVWPxUgqemTTozLcBFZK8zjgtm3JxXxQRNB | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
168.119.215.53  | Ai2YCZ7gbytT9SpYJjxesQuBbhcR3KXJ6wcnk2uN3Zux | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
64.130.33.5     | J9kpNXw6NAFwAcof8MMBgaoVEFiGDy1e4KugQ6uhuQgC | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
168.119.192.241 | Ad1dU13pJh19tbTvJyey5QsgoogpSP5NPNKEmjS6RYaE | 8001   | 8003  | 8009     | none                  | 2.3.6   | 3640012085
64.130.44.79    | 9BbPLiyP1fhya7zJp5H1re9JsyRm1u5Y8phmZp2EcLXH | 38000  | 38003 | 38009    | none                  | 3.0.6   | 3604001754
213.145.102.214 | DDXTqUXyvdKuCfyW6mLWHnM4bc9K3DWvYrKQbKjaPb5i | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
64.130.40.50    | Ez3VtraC3aNK2VZaEMs1BM2Q3Qvxzgicy4H3gTaFGFaG | 8001   | 8004  | 8010     | none                  | 3.0.11  | 3604001754
173.231.48.130  | 4PvDnvhCxrjkkh8Ph8UdfPSHs9oAYgEBJ9JY65zxteyr | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
37.114.51.56    | 7gywdpwmpVZYPsjQtAekWcyHgihKc7kx47gKkJtJvNoT | 8000   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
202.8.11.112    | ExKFUD9wsscXuEnsm1NjzmyStj93VPdsJCWweRmJJYqo | 8000   | 8003  | 8009     | none                  | 3.0.12  | 3604001754
64.130.59.147   | EW2xCz2zBfPQZKfRp1FcoeBFeRh3aTXVwRnuhC9wwu4Y | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
64.130.53.239   | 75SjhHXd4QU6wQcSEcSd4Hn7qHuZYNkDoA1dRaSegM25 | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
185.191.118.83  | 7s42cHt3eMRuNTDYqEcvHuhrKVoWVJnuPtSMjPAcwZ1y | 8000   | 8003  | 8009     | none                  | 2.3.7   | 3640012085
204.16.244.74   | HUD72Dp6JF3BcdjTcSQKxrjCvRZ4khLgq9cQQK3DAHe1 | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
64.130.40.200   | H72Rcwdv6pYtxUEFisC4fhKoZhX2wyuGuJfzW2tMozA5 | 8001   | 8004  | 8010     | none                  | 3.0.11  | 3604001754
